height	timestamp	diff	change	bits	average_time(seconds)	average_hashrate
2016	1233063531	1	0	0x1d00ffff	1020	4209307
4032	1234466190	1	0	0x1d00ffff	696	6173028
6048	1235966513	1	0	0x1d00ffff	744	5771193
8064	1237508786	1	0	0x1d00ffff	765	5614216
10080	1239055463	1	0	0x1d00ffff	767	5598230
12096	1240599098	1	0	0x1d00ffff	766	5609262
14112	1242098425	1	0	0x1d00ffff	744	5775027
16128	1243737085	1	0	0x1d00ffff	813	5283984
18144	1246051973	1	0	0x1d00ffff	1148	3740420
20160	1248481816	1	0	0x1d00ffff	1205	3563462
22176	1252069298	1	0	0x1d00ffff	1780	2413574
24192	1254454028	1	0	0x1d00ffff	1183	3630873
26208	1257002900	1	0	0x1d00ffff	1264	3397053
28224	1259358667	1	0	0x1d00ffff	1169	3675513
30240	1261130161	1	0	0x1d00ffff	879	4887769
32256	1262153464	1	0	0x1d00d86a	508	8461476
34272	1263250117	1	0	0x1d00c428	544	7895527
36288	1264424879	1	0	0x1d00be71	583	7370560
38304	1265319794	1	0	0x1d008cc3	444	9675392
40320	1266191579	2	100	0x1c654657	432	9932098
42336	1267000864	3	50	0x1c43b3e5	401	21398281
44352	1268010873	4	33.33	0x1c387f6f	501	25718545
46368	1269212064	4	0	0x1c381375	596	28833562
48384	1270120042	6	50	0x1c2a1115	450	38144774
50400	1271061586	7	16.67	0x1c20bca7	467	55177372
52416	1271886772	11	57.14	0x1c16546f	409	73450808
54432	1272966376	12	9.09	0x1c13ec53	536	88222343
56448	1274278435	11	-8.33	0x1c159c24	651	79191445
58464	1275141448	16	45.45	0x1c0f675c	428	110363568
60480	1276298786	17	6.25	0x1c0eba64	574	119704412
62496	1277382446	19	11.76	0x1c0d3142	538	135833304
64512	1278381464	23	21.05	0x1c0ae493	496	164676139
66528	1279008237	45	95.65	0x1c05a3f4	311	317737113
68544	1279297779	181	302.22	0x1c0168fd	144	1345709545
70560	1280198558	244	34.81	0x1c010c5a	447	1739845607
72576	1281037595	352	44.26	0x1c00ba18	416	2518019578
74592	1281870671	511	45.17	0x1c00800e	413	3658545237
76608	1282864403	623	21.92	0x1b692098	493	4452480376
78624	1283922289	712	14.29	0x1b5bede6	525	5099170879
80640	1284861847	917	28.79	0x1b4766ed	466	6561555217
82656	1285703908	1318	43.73	0x1b31b2a3	418	9429228738
84672	1286861705	1378	4.55	0x1b2f8e9d	574	9856741779
86688	1287637995	2149	55.95	0x1b1e7eca	385	15370061841
88704	1288479527	3091	43.83	0x1b153263	417	22111396350
90720	1289305768	4536	46.75	0x1b0e7256	410	32392364608
92736	1290105874	6866	51.37	0x1b098b2a	397	49088064401
94752	1291135075	8078	17.65	0x1b081cd2	511	57763564975
96768	1291933202	12251	51.66	0x1b055953	396	87635937096
98784	1292956443	14484	18.23	0x1b04864c	508	1.04E+11
100800	1294031411	16307	12.59	0x1b0404cb	533	1.17E+11
102816	1295101567	18437	13.06	0x1b038dee	531	1.32E+11
104832	1296116171	22012	19.39	0x1b02fa29	503	1.57E+11
106848	1297140800	25997	18.1	0x1b028552	508	1.86E+11
108864	1298006152	36459	40.24	0x1b01cc26	429	2.60E+11
110880	1298800760	55589	52.47	0x1b012dcd	394	3.97E+11
112896	1299684355	76192	37.06	0x1b00dc31	438	5.45E+11
114912	1301020785	68977	-9.47	0x1b00f339	663	4.94E+11
116928	1302034197	82345	19.38	0x1b00cbbd	503	5.89E+11
118944	1303112976	92347	12.15	0x1b00b5ac	535	6.61E+11
120960	1304131980	109670	18.76	0x1b0098fa	505	7.85E+11
122976	1304975844	157416	43.54	0x1a6a93b3	419	1.13E+12
124992	1305756287	244112	55.07	0x1a44b9f2	387	1.75E+12
127008	1306435316	434877	78.15	0x1a269421	337	3.11E+12
129024	1307363105	567269	30.44	0x1a1d932f	460	4.06E+12
131040	1308145774	876954	54.59	0x1a132185	388	6.28E+12
133056	1308915923	1379192	57.27	0x1a0c2a12	382	9.86E+12
135072	1309984546	1563027	13.33	0x1a0abbcf	530	1.12E+13
137088	1311103389	1690895	8.18	0x1a09ec04	555	1.21E+13
139104	1312186279	1888786	11.7	0x1a08e1e5	537	1.35E+13
141120	1313451894	1805700	-4.4	0x1a094a86	628	1.29E+13
143136	1314681303	1777774	-1.55	0x1a096fe3	610	1.27E+13
145152	1315906316	1755425	-1.26	0x1a098ea5	608	1.26E+13
147168	1317163624	1689334	-3.76	0x1a09ee5d	624	1.21E+13
149184	1318556675	1468195	-13.09	0x1a0b6d4b	691	1.05E+13
151200	1320032534	1203461	-18.03	0x1a0df0ca	732	8.61E+12
153216	1321253770	1192497	-0.91	0x1a0e119a	606	8.53E+12
155232	1322576420	1090715	-8.54	0x1a0f61b1	656	7.81E+12
157248	1323718955	1155038	5.9	0x1a0e8668	567	8.27E+12
159264	1324925005	1159929	0.42	0x1a0e76ba	598	8.29E+12
161280	1326047176	1250757	7.83	0x1a0d69d7	557	8.95E+12
163296	1327204504	1307728	4.55	0x1a0cd43f	574	9.36E+12
165312	1328351561	1379647	5.5	0x1a0c290b	569	9.87E+12
167328	1329564255	1376302	-0.24	0x1a0c309c	602	9.85E+12
169344	1330676736	1496978	8.77	0x1a0b350c	552	1.07E+13
